State,Year,CVD_Death,Death_LL,Death_UL,CVD_Prevalence,Prev_LL,Prev_UL,CVD_Incidence,Inci_LL,Inci_UL
Andhra Pradesh,2011,106825.248613636,85820.7068812663,130036.08046978,2949463.9588909,2736036.22762263,3160933.57911394,362695.361861936,334879.770988772,393698.086346922
Andhra Pradesh,2012,110008.715018747,89276.9874222394,133153.68812723,3044881.27508041,2830325.28431839,3259914.92356776,373172.415911003,344996.121037716,404076.954395538
Andhra Pradesh,2013,113886.706109992,93575.5989181123,135853.579602071,3141257.2833347,2923276.41486567,3361702.17804382,383944.235913532,355223.434687026,414800.719656172
Andhra Pradesh,2014,115198.148193581,95889.7280727226,138068.317753073,3237644.50713247,3020960.51315662,3458625.8251973,394492.462363451,365515.470759391,425287.970317852
Andhra Pradesh,2015,116801.586933952,96938.0694219956,138563.551533708,3332205.33252833,3109168.38981597,3563151.55105859,404398.801759512,374338.312099995,435343.868649394
Andhra Pradesh,2016,119374.589887688,95348.4464416814,143080.038309946,3472950.2177987,3237091.68121819,3720026.87521657,412686.844274797,381778.673571603,444744.918908753
Andhra Pradesh,2017,121864.108737157,99490.1510884212,147570.947772375,3620000.08577229,3359482.25166158,3875964.03748562,422123.174168018,388647.671006944,458179.470891374
Andhra Pradesh,2018,126933.449550442,100533.796594858,153926.130848389,3722323.23730673,3451907.39562724,3988870.19505825,434336.174764783,400965.43449208,469860.786946423
Andhra Pradesh,2019,130491.117637522,103324.429827604,159663.596616377,3811877.89377021,3536625.99050087,4083520.40579898,445964.664120299,411654.227063081,482745.476417793
Arunachal Pradesh,2011,1030.51360892038,845.637085346062,1277.12665072939,42371.5029048193,39328.6655454526,45448.8022170161,5174.1380412855,4739.04713756368,5607.97292723615
Arunachal Pradesh,2012,1071.52982655377,900.552525535601,1315.85551964784,44064.6541341295,40962.5823164376,47241.9438110747,5354.75198763428,4916.62159969666,5802.47778565449
Arunachal Pradesh,2013,1109.14610469655,921.56062892478,1345.76593113973,45778.8747836752,42567.3873483206,49063.7063010378,5540.24929194897,5085.41349182828,6009.65443035132
Arunachal Pradesh,2014,1127.15254462334,940.094038601633,1374.2553192929,47474.1243911172,44171.321627884,50918.6072775569,5726.78981333831,5256.96054184196,6222.49730901312
Arunachal Pradesh,2015,1142.05624797609,947.095502765638,1397.23702291083,49117.3924852826,45724.0632971441,52677.5889393894,5912.28620262618,5429.12098040882,6422.5290599698
Arunachal Pradesh,2016,1164.62512252257,967.502750488163,1415.36143797098,50731.4518560856,47270.1427962241,54437.9295073016,6085.95147614123,5591.8156089847,6606.49521623836
Arunachal Pradesh,2017,1190.09015947877,987.281928356399,1479.79385265645,52352.9087776114,48736.5714681691,56131.4316940921,6266.22009307421,5769.8068558204,6786.65263237462
Arunachal Pradesh,2018,1244.1279823078,1029.5668083606,1542.33228404945,53884.0787127582,50219.4171455256,57719.7080363098,6470.66405188389,5952.61389491975,7014.94814914567
Arunachal Pradesh,2019,1281.35625507778,1036.2542456181,1618.58620650347,55269.6902271239,51519.6959897491,59069.1174842241,6674.0221080335,6130.48045826543,7221.9515074316
Assam,2011,46748.513613108,42286.0726107802,51629.4228319474,1217735.4314487,1135741.61914338,1305479.34871505,152545.583206737,140868.413692067,164817.074241741
Assam,2012,50861.3498455267,46703.2177502045,55593.4177595559,1263313.11103535,1179436.61394657,1354736.60582968,156854.487156347,145051.538694406,169313.777182119
Assam,2013,51408.7236378618,47202.8506643571,55819.5710656206,1308980.80913415,1220660.99622745,1401552.60770155,160892.474583066,148878.685447205,173475.21060587
Assam,2014,44861.8759669457,40830.439623188,49203.322008997,1355734.33047702,1265988.57309734,1448546.18048844,165296.764784285,152842.014704781,178204.61158204
Assam,2015,43365.1778318164,39399.5090256607,47978.9817691596,1403998.65938681,1308699.39967009,1500878.82583867,170478.206613785,158006.611746807,184100.355122545
Assam,2016,47699.9075878473,43209.048884413,53144.6545298431,1449629.69838816,1355607.26205666,1549318.56461473,175595.815663609,162191.529628034,189560.608285166
Assam,2017,49672.0372197977,44048.4941646336,56076.517807241,1494287.44428415,1388990.24785403,1602036.25956842,180791.693847284,166099.484471193,195666.221647533
Assam,2018,53648.411029757,46495.9646327368,62360.5849245681,1538740.24071055,1436629.41830693,1647639.20818174,186675.698073796,172131.576546482,201535.269836084
Assam,2019,55927.1084224083,46914.886100258,65685.8337615449,1577512.32001853,1469165.39330952,1686006.90033066,192673.123274598,178076.638796127,207861.59113631
Bihar,2011,132852.179463412,115767.63871816,151280.38522133,3717675.28749521,3444215.97073138,4004936.98798706,481690.887511833,444699.347957184,523925.558424433
Bihar,2012,137032.072295608,120127.93518825,153259.530545732,3878380.08907136,3595333.43676644,4176483.04026286,498342.232669361,460444.975545654,540162.874739613
Bihar,2013,139405.080932283,121748.520866242,157182.975869195,4043620.56689645,3744744.99755012,4341393.56490576,514713.29592194,475911.363067606,557019.987423657
Bihar,2014,138403.379337415,121813.622502156,154821.446447854,4206845.37904263,3911709.64799936,4518611.76286021,530802.942924689,490412.998945892,574424.305164638
Bihar,2015,141124.153893413,122619.702443066,159039.203397342,4360426.1311127,4054830.4862655,4687269.00291596,546470.397194297,504355.206599901,589897.18513009
Bihar,2016,145059.946579403,126827.101636215,165471.694122878,4499696.65988858,4168817.35260304,4838390.63985004,559590.377655021,517248.974507824,604263.402545659
