State,Year,CVD_DALY,CVD_DALY_LL,CVD_DALY_UL,CVD_YLD,CVD_YLD_LL,CVD_YLD_UL,CVD_YLL,CVD_YLL_LL,CVD_YLL_UL,CVD_Death,Death_LL,Death_UL,CVD_Prevalence,CVD_Prev_LL,CVD_Prev_UL,CVD_Incidence,CVD_Inci_LL,CVD_Inci_UL,Stroke_DALY,Stroke_DALY_UL,Stroke_DALY_LL,Stroke_YLD,Stroke_YLD_LL,Stroke_YLD_UL,Stroke_YLL,Stroke_YLL_LL,Stroke_YLL_UL,Stroke_Death,Stroke_Death_LL,Stroke_Death_UL,Stroke_Incidence,Stroke_Inci_LL,Stroke_Inci_UL,Stroke_Prevalence,Stroke_Preva_LL,Stroke_Preva_UL
Andhra Pradesh,1990,4963.38,3962.72,6074.59,202.05,145.97,262.92,4761.33,3778.16,5863.41,166.24,132.33,202.69,4161.08,3800.51,4496.65,519.7,476.67,564.16,1280.77,1026.98,1556.02,80.85,58.5,104.07,1199.92,943.18,1471.7,46.56,36.67,56.58,78.12,69.67,87.79,553.92,496.38,612.86
Andhra Pradesh,1991,4981.72,4036.57,6037.8,204.29,148.81,265.07,4777.43,3847.79,5841.47,167.59,136.41,202.15,4224.18,3881.08,4566.93,532.19,489.27,576.45,1286.78,1041.25,1554.03,80.7,58.5,103.1,1206.07,970.68,1470.6,46.99,37.75,57.24,78.4,70.09,87.97,553.26,500.12,609.31
Andhra Pradesh,1992,4984.17,4023.3,6017.29,206.54,149.99,268.36,4777.63,3820,5791.6,167.97,137.2,204.35,4285.61,3933.46,4621.47,543.41,500.58,588.72,1290.34,1044.22,1572.1,80.71,58.33,103.05,1209.62,962.71,1488.44,47.22,37.67,57.67,78.55,70.25,87.78,552.01,500.48,606.02
Andhra Pradesh,1993,4976.81,4005.99,6067.7,208.74,150.39,271.66,4768.07,3807.19,5868.44,168.5,136.32,204.74,4348.52,3987.82,4687.31,553.57,511.04,599.4,1284.13,1034.41,1553.19,80.7,58.03,103.31,1203.43,954.08,1475.23,47.21,37.71,57.71,78.67,70.56,87.8,551.79,500.82,605.94
Andhra Pradesh,1994,4983.17,4016.71,5976.89,211.23,152.49,274.03,4771.94,3826.73,5772.41,168.87,136.47,202.59,4415.07,4055.71,4764.81,562.72,518.57,610.04,1279.56,1026.48,1543.14,80.96,58.9,102.96,1198.61,939.51,1459.38,47.09,37.56,56.95,78.79,70.92,88.05,552.8,503.09,606.1
Andhra Pradesh,1995,4909.17,3944.74,5976.26,213.85,154.13,277.68,4695.32,3745.46,5752.11,167.06,134.81,202.35,4486.11,4125.33,4844.99,570.79,524.87,619.59,1260.66,1017.15,1546.77,81.27,58.81,102.46,1179.39,932.27,1462.81,46.61,37.26,57.36,78.94,71.19,87.94,555.64,504.26,610.42
Andhra Pradesh,1996,4940.81,4058.53,6018.88,216.56,157.73,281.02,4724.25,3845.67,5821.91,169.12,139.26,205.91,4560.54,4200.95,4924.31,577.16,532.13,626.6,1267.85,1030.01,1550.74,81.83,59.72,103.23,1186.02,943.93,1465.18,47.16,37.77,57.72,78.93,71.13,87.97,558.83,507.59,612.83
Andhra Pradesh,1997,5103.54,4099.39,6185.51,218.67,158,285.14,4884.87,3877.09,5981.01,176.49,144.2,211.66,4631.35,4262.14,4992.46,581.11,534.96,630.54,1312.37,1066.13,1581.18,82.15,59.64,103.67,1230.21,986.76,1499.19,49.37,39.97,59.54,78.52,70.71,87.71,560.37,509.21,617.46
Andhra Pradesh,1998,5121.06,4132.26,6258.31,220.75,159.64,287.3,4900.31,3913.89,6035.52,178.85,146.15,216.71,4702.16,4312.3,5076.65,584.34,537.11,634.71,1323.11,1069.66,1609.16,82.62,59.69,105.51,1240.49,989.96,1524.59,50.34,40.78,60.74,77.99,70.08,87.31,563.07,506.36,618.12
Andhra Pradesh,1999,5051.62,4111.29,6093.18,222.83,161.07,288.65,4828.79,3889.05,5850.08,176.25,144.15,211.4,4774.47,4369.57,5153.94,588.98,542.08,640.34,1300.78,1058.8,1568.99,83.06,59.68,106.4,1217.72,974.12,1494.69,49.59,40.14,59.74,77.67,69.72,86.81,566,511.36,625.04
Andhra Pradesh,2000,5071.55,4129.04,6149.21,225.53,163.47,291.79,4846.02,3904.36,5930.6,178.97,147.37,215.07,4854.72,4448.8,5252.42,596.69,548.03,649.02,1309.18,1070.74,1581.93,83.8,60.66,107.49,1225.38,990.4,1493.2,50.5,41.3,60.89,77.85,69.8,86.99,570.87,511.4,629.89
Andhra Pradesh,2001,5163.73,4160.06,6255.1,228.78,166.08,295.97,4934.95,3946.35,6047.37,185.14,151.51,221.12,4939.49,4540.29,5339.98,610.53,561.65,664.12,1336.17,1076.15,1606.05,84.86,60.36,109.22,1251.31,999.16,1513.18,52.24,42.51,62.56,78.38,70.38,87.5,577.39,518.51,638.46
Andhra Pradesh,2002,5238.18,4170.67,6357.78,231.98,168.91,300.69,5006.2,3967.35,6125.26,189.99,153.89,228.14,5027.56,4630.08,5426.12,629.48,579.38,683.5,1354.15,1111.31,1642.5,85.8,62.14,109.47,1268.35,1024.18,1553.25,53.47,43.67,64.64,78.82,70.88,88.27,583.46,527.09,643.04
Andhra Pradesh,2003,5238.98,4222.42,6392.66,235.51,171.63,304.04,5003.47,3979.98,6161.7,191.45,157.52,229.62,5119.05,4727.98,5517.12,650.74,599.49,705.44,1354.46,1105.54,1635.21,86.92,63.05,110.33,1267.53,1022.24,1552.26,53.74,43.89,64.43,79.29,71.13,88.92,590.51,537.62,646.03
Andhra Pradesh,2004,5122.75,4126.53,6223.58,239.21,174.24,309.32,4883.54,3897.05,5954.05,187.45,154.27,222.33,5217.95,4821.04,5622.3,671.32,619.45,727.81,1318.41,1071.52,1573.84,88.03,63.47,111.64,1230.38,994.31,1478.36,52.37,42.91,61.97,79.95,71.75,90.05,597.62,544.91,648.88
Andhra Pradesh,2005,5189.74,4137.57,6399.19,243.26,177.24,316.59,4946.47,3893.46,6155.25,192.82,155.74,234.02,5320.54,4927.54,5725.31,687.3,633.7,745.1,1342.98,1096.65,1620.32,89.39,63.98,113.14,1253.59,997.42,1528.49,54.13,44.02,64.94,80.87,72.63,91.1,606.32,552.74,661.59
Andhra Pradesh,2006,5339.86,4328.41,6391.57,246.3,178.62,319.78,5093.57,4097.37,6146.28,201.73,166.31,238.55,5406.67,5003.6,5815.82,695.38,641.28,753.92,1360.08,1119.21,1612.32,90.65,65.17,114.82,1269.43,1027.56,1527.8,55.42,45.79,65.56,81.85,73.58,91.84,615.05,560.2,670.67
Andhra Pradesh,2007,5435.22,4300.84,6707.25,247.77,180.44,321.57,5187.45,4030.86,6474.16,206.95,167,250.95,5459.94,5061.77,5847.74,695.93,641.98,754.61,1362.83,1104.33,1661.71,91.98,66.58,116.55,1270.85,1013.17,1562.1,55.69,45.55,66.82,82.61,74.29,92.36,624.55,569.9,683.8
Andhra Pradesh,2008,5554.59,4485.17,6793.92,248.81,179.5,320.92,5305.78,4217.94,6528.75,213.32,174.57,255.58,5503.52,5103.87,5897.01,693.33,639.13,752.63,1375.22,1124.22,1654.64,93.39,67.43,119.54,1281.83,1027.92,1561.29,56.42,46.61,67.27,83.34,74.87,93.11,633.69,572.83,698.82
Andhra Pradesh,2009,5549.9,4463.38,6637.7,250.39,180.71,323.95,5299.51,4210.55,6399.92,212.22,174.12,249.96,5558.96,5146.34,5955.71,692.18,637.93,751.99,1359.89,1107.19,1612.77,94.78,68.38,121.42,1265.11,1017.35,1517.65,55.32,45.43,65.03,84.24,75.45,94.24,643.15,575.42,712.74
Andhra Pradesh,2010,5567.88,4510.51,6730.42,253.69,184.97,328.15,5314.19,4261.17,6452.8,211.58,175.62,251.82,5644.74,5228.95,6056.79,697.36,642.4,758.82,1343.67,1105.86,1613.05,96.23,68.97,123.92,1247.44,1016.03,1507.18,54.08,44.76,64.23,85.53,76.65,95.73,652.73,583.66,724.11
Andhra Pradesh,2011,5493.78,4421.26,6740.31,259.32,187.83,335.4,5234.46,4184.09,6485.74,209.04,167.94,254.46,5771.73,5354.08,6185.55,709.75,655.32,770.42,1292.45,1050.04,1571.71,98,70.51,125.88,1194.45,961.45,1474.8,52.03,42.45,63.43,87.22,78.21,97.63,664.16,594.64,735.43
Andhra Pradesh,2012,5518.42,4461.03,6684.68,266,192.85,341.63,5252.42,4193.29,6410.48,213.4,173.19,258.3,5906.7,5490.49,6323.84,723.91,669.25,783.86,1280.48,1048.49,1547.26,99.97,72.67,127.54,1180.51,942.9,1444.68,52.14,42.63,63.05,89,80.11,99.7,676.62,610.89,743.71
Andhra Pradesh,2013,5522.47,4480.37,6650.83,273.03,199.02,353.13,5249.44,4195.11,6374.68,219.06,179.99,261.31,6042.1,5622.82,6466.12,738.5,683.26,797.85,1285.73,1053.82,1532.59,102.09,74.14,130.35,1183.63,951.84,1432.03,53.71,43.93,64.35,90.83,81.61,101.81,690.02,626.4,759.61
