"State","cpd_2021"
"Assam",87274.74
"Bihar",42712.23
"Chhattisgarh",83715.56
"Jharkhand",67978.28
"Madhya Pradesh",60983.39
"Odisha",81418.89
"Tripura",100565.3
"Uttar Pradesh",22716.16
"West Bengal",80828.68
"Andhra Pradesh",70149.7
"Gujarat",72005.28
"Karnataka",86130.2
"Meghalaya",287821.9
"Rajasthan",68032.98
"Telangana",57271.43
"Arunachal Pradesh",592471
"Manipur",161615.5
"Nagaland",207397.5
"Tamil Nadu",75825.13
"Uttarakhand",95350.43
"Haryana",99403.71
"Maharashtra",75191.83
"Himachal Pradesh",134601.8
"Jammu & Kashmir",210529.5
"Mizoram",294852.9
"Punjab",60492.23
"Sikkim",461771
"Delhi",233228.7
"Goa",440620.7
"Kerala",155406.1
