State,CpD_2030
Assam,113873.74
Bihar,55729.77
Chhattisgarh,109229.82
Jharkhand,88696.24
Madhya Pradesh,79569.49
Odisha,106233.18
Tripura,131214.91
Uttar Pradesh,29639.44
West Bengal,105463.09
Andhra Pradesh,91529.45
Gujarat,93950.56
Karnataka,112380.38
Meghalaya,375542.3
Rajasthan,88767.61
Telangana,74726.23
Arunachal Pradesh,773040.27
Manipur,210871.57
Nagaland,270606.7
Tamil Nadu,98934.6
Uttarakhand,124410.68
Haryana,129699.3
Maharashtra,98108.28
Himachal Pradesh,175624.82
Jammu & Kashmir,274693.25
Mizoram,384716.16
Punjab,78928.64
Sikkim,602506.42
Delhi,304310.55
Goa,574910.07
Kerala,202769.71
