State,Year,Forecasted_CVD_Deaths,Lower_80,Upper_80,Lower_95,Upper_95
Andhra Pradesh,2020,133449.35126550775,131869.41855185758,135029.28397915792,131033.05269430274,135865.64983671275
Andhra Pradesh,2021,136407.58489349348,134173.2226222125,138641.94716477446,132990.4226833526,139824.74710363435
Andhra Pradesh,2022,139365.81852147923,136629.29478889698,142102.34225406148,135180.66662989606,143550.9704130624
Andhra Pradesh,2023,142324.052149465,139164.18672216465,145483.91757676532,137491.45500705496,147156.64929187502
Andhra Pradesh,2024,145282.2857774507,141749.44882985324,148815.1227250482,139879.27791830068,150685.29363660075
Andhra Pradesh,2025,148240.51940543647,144370.49042906277,152110.54838181016,142321.82083976813,154159.2179711048
Andhra Pradesh,2026,151198.75303342222,147018.64398488845,155378.862081956,144805.82792073308,157591.67814611137
Andhra Pradesh,2027,154156.98666140798,149688.26211884597,158625.71120397,147322.66224112627,160991.3110816897
Andhra Pradesh,2028,157115.22028939374,152375.42214844323,161855.01843034424,149866.3245757787,164364.11600300876
Andhra Pradesh,2029,160073.45391737946,155077.26799243432,165069.6398423246,152432.4469253611,167714.46090939784
Andhra Pradesh,2030,163031.68754536522,157791.6435401796,168271.73155055084,155017.73180320635,171045.6432875241
Arunachal Pradesh,2020,1312.711585848051,1295.632339825619,1329.790831870483,1286.5911331194552,1338.832038576647
Arunachal Pradesh,2021,1344.066916618322,1319.9132152582918,1368.2206179783523,1307.1270181142163,1381.0068151224277
Arunachal Pradesh,2022,1375.4222473885932,1345.8401255227723,1405.004369254414,1330.180296145964,1420.6641986312225
Arunachal Pradesh,2023,1406.7775781588643,1372.6190861140003,1440.9360702037284,1354.5366727016726,1459.018483616056
Arunachal Pradesh,2024,1438.1329089291353,1399.9425538185344,1476.3232640397362,1379.725801024925,1496.5400168333456
Arunachal Pradesh,2025,1469.4882396994064,1427.6528017529888,1511.323677645824,1405.506458663858,1533.470020734955
Arunachal Pradesh,2026,1500.8435704696776,1455.6561329138333,1546.031008025522,1431.7353484173943,1569.951792521961
Arunachal Pradesh,2027,1532.1989012399486,1483.8914985198883,1580.5063039600088,1458.3191042317374,1606.0786982481598
Arunachal Pradesh,2028,1563.55423201022,1512.316493942924,1614.791970077516,1485.1928738244324,1641.9155901960075
Arunachal Pradesh,2029,1594.909562780491,1540.9002446312343,1648.9188809297475,1512.309438643368,1677.5096869176139
Arunachal Pradesh,2030,1626.264893550762,1569.619442792185,1682.910344309339,1539.6331524957945,1712.8966346057296
Assam,2020,49354.78946167432,44113.48237473544,54596.096548613205,41338.902002671224,57370.67692067742
Assam,2021,49354.78946167432,44113.48237473544,54596.096548613205,41338.902002671224,57370.67692067742
