State,Year,Forecasted_CVD_Incidences,Lower_80,Upper_80,Lower_95,Upper_95
Andhra Pradesh,2020,456373.32690259436,454787.50280162005,457959.15100356867,453948.018232003,458798.6355731857
Andhra Pradesh,2021,466781.98968488973,464539.29573375377,469024.6836360257,463352.08526999835,470211.8940997811
Andhra Pradesh,2022,477190.65246718505,474443.92455243034,479937.38038193976,472989.8946256835,481391.4103086866
Andhra Pradesh,2023,487599.3152494804,484427.6670475318,490770.96345142904,482748.6979082977,492449.93259066314
Andhra Pradesh,2024,498007.9780317758,494461.96754163975,501553.98852191184,492584.8229779139,503431.1330856377
Andhra Pradesh,2025,508416.6408140712,504532.1809448763,512301.10068326606,502475.87210237456,514357.4095257678
Andhra Pradesh,2026,518825.30359636655,514629.607402096,523020.9997906371,512408.54000141314,525242.0671913199
Andhra Pradesh,2027,529233.9663786619,524748.57847639,533719.3542809339,522374.1575488792,536093.7752084447
Andhra Pradesh,2028,539642.6291609573,534885.1568580344,544400.1014638802,532366.7031491832,546918.5551727314
Andhra Pradesh,2029,550051.2919432527,545036.475815785,555066.1080707203,542381.792515229,557720.7913712764
Andhra Pradesh,2030,560459.954725548,555200.3711991135,565719.5382519825,552416.1158644009,568503.7935866952
Arunachal Pradesh,2020,6861.507616377001,6847.273928534428,6875.741304219574,6839.739069337091,6883.276163416911
Arunachal Pradesh,2021,7048.9931247205,7028.863650330949,7069.122599110052,7018.207750263502,7079.778499177499
Arunachal Pradesh,2022,7236.478633064001,7211.825162541589,7261.132103586413,7198.774403583923,7274.1828625440785
Arunachal Pradesh,2023,7423.964141407501,7395.496765722355,7452.4315170926475,7380.42704732768,7467.501235487322
Arunachal Pradesh,2024,7611.449649751001,7579.622156164495,7643.2771433375065,7562.773698798359,7660.125600703643
Arunachal Pradesh,2025,7798.9351580945,7764.0698857221405,7833.80043046686,7745.613325404946,7852.256990784054
Arunachal Pradesh,2026,7986.420666438001,7948.761868167229,8024.079464708772,7928.826504567187,8044.014828308815
Arunachal Pradesh,2027,8173.906174781501,8133.6472260023975,8214.165123560604,8112.335425867505,8235.476923695498
Arunachal Pradesh,2028,8361.391683125,8318.690619597282,8404.09274665272,8296.086042005269,8426.697324244733
Arunachal Pradesh,2029,8548.8771914685,8503.86631838212,8593.88806455488,8480.039001469868,8617.715381467133
Arunachal Pradesh,2030,8736.362699812002,8689.154897855144,8783.57050176886,8664.164597049417,8808.560802574586
Assam,2020,198670.54847540002,198107.57990463328,199233.51704616676,197809.56234515258,199531.53460564747
Assam,2021,204667.97367620203,203409.1376827717,205926.80966963238,202742.75016128426,206593.1971911198
Assam,2022,210665.39887700405,208558.9633656731,212771.834388335,207443.88376285377,213886.91399115432
Assam,2023,216662.82407780606,213579.31822405217,219746.32993155994,211947.00882545,221378.6393301621
Assam,2024,222660.24927860807,218485.16261580534,226835.3359414108,216275.00524205662,229045.49331515952
Assam,2025,228657.67447941008,223287.29659120942,234028.05236761074,220444.39026421693,236870.95869460324
Assam,2026,234655.0996802121,227993.9657201449,241316.2336402793,224467.77440283992,244842.42495758427
Assam,2027,240652.5248810141,232611.7253697146,248693.3243923136,228355.1832267537,252949.86653527452
Assam,2028,246649.95008181612,237145.9467502575,256153.95341337472,232114.8312932969,261185.06887033532
Assam,2029,252647.37528261813,241601.13427069958,263693.6162945367,235753.60750144476,269541.1430637915
Assam,2030,258644.80048342014,245981.1356305586,271308.4653362817,239277.39639980308,278012.2045670372
Bihar,2020,622392.4777398264,620562.8161291158,624222.1393505371,619594.2517789658,625190.703700687
Bihar,2021,638025.9877651598,635438.4555007394,640613.5200295802,634068.6986607263,641983.2768695933
Bihar,2022,653659.4977904932,650490.430920084,656828.5646609024,648812.8282552244,658506.167325762
Bihar,2023,669293.0078158266,665633.6845944052,672952.3310372479,663696.5558941053,674889.4597375478
Bihar,2024,684926.51784116,680835.2701037892,689017.7655785307,678669.494376271,691183.5413060489
Bihar,2025,700560.0278664934,696078.2905182935,705041.7652146934,693705.8020773758,707414.2536556111
Bihar,2026,716193.5378918268,711352.7082864846,721034.3674971691,708790.127887225,723596.9478964286
Bihar,2027,731827.0479171602,726651.9833883194,737002.112446001,723912.4697082932,739741.6261260272
Bihar,2028,747460.5579424936,741971.5731103616,752949.5427746256,739065.8800599119,755855.2358250753
Bihar,2029,763094.067967827,757308.169930609,768879.966005045,754245.3005236944,771942.8354119596
Bihar,2030,778727.5779931603,772659.2769371158,784795.8790492049,769446.9124023541,788008.2435839666
Chhattisgarh,2020,195096.78635597997,194895.69439340296,195297.878318557,194789.2427386742,195404.32997328576
Chhattisgarh,2021,200746.02073724696,200296.36543919588,201195.67603529803,200058.33230290507,201433.70917158885
Chhattisgarh,2022,206395.25511851395,205642.8378913167,207147.67234571118,205244.53227106662,207545.97796596127
Chhattisgarh,2023,212044.48949978093,210943.06345941668,213145.9155401452,210360.00373362986,213728.975265932
Chhattisgarh,2024,217693.72388104792,216202.38597241705,219185.0617896788,215412.91937166895,219974.5283904269
Chhattisgarh,2025,223342.9582623149,221424.6632003939,225261.2533242359,220409.17913537944,226276.73738925037
Chhattisgarh,2026,228992.1926435819,226612.84045489028,231371.5448322735,225353.28749005392,232631.09779710986
Chhattisgarh,2027,234641.42702484888,231769.25930825068,237513.59474144707,230248.82556156022,239034.02848813753
Chhattisgarh,2028,240290.66140611586,236895.83835288783,243685.4844593439,235098.7275837841,245482.59522844764
Chhattisgarh,2029,245939.89578738285,241994.18656038237,249885.60501438333,239905.45426641137,251974.33730835433
Chhattisgarh,2030,251589.13016864983,247065.6783261937,256112.58201110596,244671.10756590907,258507.1527713906
Delhi,2020,111735.99796637759,110766.75655404382,112705.23937871135,110253.67114350671,113218.32478924847
Delhi,2021,115053.27073264317,113682.5563821071,116423.98508317924,112956.94403586976,117149.59742941658
Delhi,2022,118370.54349890875,116691.76812794685,120049.31886987065,115803.07812827424,120938.00886954326
Delhi,2023,121687.81626517435,119749.33344050682,123626.29908984188,118723.1626194326,124652.4699109161
Delhi,2024,125005.08903143993,122837.79934685372,127172.37871602614,121690.50549062937,128319.67257225049
Delhi,2025,128322.36179770553,125948.21489991328,130696.50869549777,124691.41744963094,131953.3061457801
Delhi,2026,131639.6345639711,129075.26282655094,134204.00630139126,127717.76642893428,135561.50269900792
Delhi,2027,134956.9073302367,132215.47862916454,137698.33603130883,130764.25393668987,139149.5607237835
Delhi,2028,138274.1800965023,135366.455859501,141181.9043335036,133827.19962788967,142721.16056511493
Delhi,2029,141591.45286276785,138526.44239723473,144656.46332830098,136903.92386573492,146278.98185980078
Delhi,2030,144908.72562903346,141694.1155330482,148123.33572501873,139992.40374089117,149825.04751717576
Goa,2020,12692.471189307425,12642.731886965777,12742.210491649073,12616.4014908054,12768.540887809451
Goa,2021,13029.359635729552,12959.017639775018,13099.701631684085,12921.780836422355,13136.938435036749
Goa,2022,13366.248082151676,13280.097083362914,13452.399080940439,13234.491499429721,13498.004664873632
Goa,2023,13703.136528573803,13603.657923890509,13802.615133257097,13550.997131569751,13855.275925577855
Goa,2024,14040.02497499593,13928.804513806592,14151.245436185267,13869.927958117485,14210.121991874374
Goa,2025,14376.913421418056,14255.077510519,14498.749332317111,14190.581475200734,14563.245367635378
Goa,2026,14713.801867840182,14582.20404345833,14845.399692222034,14512.540363296159,14915.063372384206
Goa,2027,15050.690314262307,14910.00632235324,15191.374306171374,14835.532715647912,15265.847912876701
Goa,2028,15387.578760684433,15238.360853659491,15536.796667709375,15159.369665178356,15615.78785619051
Goa,2029,15724.467207106558,15567.177722479206,15881.75669173391,15483.913698917857,15965.020715295259
Goa,2030,16061.355653528684,15896.389050327394,16226.322256729974,15809.061005682004,16313.650301375365
Gujarat,2020,456206.137627135,452063.9184151843,460348.35683908564,449871.1600189237,462541.11523534625
Gujarat,2021,470136.6609712049,464278.6783833419,475994.643559068,461177.6497203426,479095.67222206725
Gujarat,2022,484067.18431527494,476892.65018408844,491241.7184464614,473094.6812330418,495039.68739750807
Gujarat,2023,497997.7076593449,489713.26923544356,506282.1460832462,485327.75244292227,510667.6628757675
