state,Forecasted_CVD_DALY,Year,paf_daly_proj2030,paf_daly_proj2030_avg975hi
Andhra Pradesh,3645975,2030,3646,51044
Arunachal Pradesh,43216,2030,43,605
Assam,1543623,2030,1544,21611
Bihar,4711621,2030,4712,65963
Chhattisgarh,2082179,2030,2082,29151
Delhi,749361,2030,749,10491
Goa,107067,2030,107,1499
Gujarat,5728153,2030,5728,80194
Haryana,1240033,2030,1240,17360
Himachal Pradesh,441581,2030,442,6182
Jammu and Kashmir,766053,2030,766,10725
Jharkhand,1105849,2030,1106,15482
Karnataka,4166651,2030,4167,58333
Kerala,3022708,2030,3023,42318
Madhya Pradesh,5510283,2030,5510,77144
Maharashtra,8917365,2030,8917,124843
Manipur,189981,2030,190,2660
Meghalaya,102896,2030,103,1441
Mizoram,22035,2030,22,308
Nagaland,58559,2030,59,820
Odisha,2888760,2030,2889,40443
Punjab,2824933,2030,2825,39549
Rajasthan,3625407,2030,3625,50756
Sikkim,23271,2030,23,326
Tamil Nadu,6760339,2030,6760,94645
Telangana,2351132,2030,2351,32916
Tripura,231178,2030,231,3236
Union Territories other than Delhi,224126,2030,224,3138
Uttar Pradesh,12644813,2030,12645,177027
Uttarakhand,731763,2030,732,10245
West Bengal,8180219,2030,8180,114523
