state,Forecasted_CVD_DALY,Year,paf_daly_proj2030_avg975rh,paf_daly_proj2030_avg25rh
Andhra Pradesh,3645975,2030,3646,7292
Arunachal Pradesh,43216,2030,43,86
Assam,1543623,2030,1544,3087
Bihar,4711621,2030,4712,9423
Chhattisgarh,2082179,2030,2082,4164
Delhi,749361,2030,749,1499
Goa,107067,2030,107,214
Gujarat,5728153,2030,5728,11456
Haryana,1240033,2030,1240,2480
Himachal Pradesh,441581,2030,442,883
Jammu and Kashmir,766053,2030,766,1532
Jharkhand,1105849,2030,1106,2212
Karnataka,4166651,2030,4167,8333
Kerala,3022708,2030,3023,6045
Madhya Pradesh,5510283,2030,5510,11021
Maharashtra,8917365,2030,8917,17835
Manipur,189981,2030,190,380
Meghalaya,102896,2030,103,206
Mizoram,22035,2030,22,44
Nagaland,58559,2030,59,117
Odisha,2888760,2030,2889,5778
Punjab,2824933,2030,2825,5650
Rajasthan,3625407,2030,3625,7251
Sikkim,23271,2030,23,47
Tamil Nadu,6760339,2030,6760,13521
Telangana,2351132,2030,2351,4702
Tripura,231178,2030,231,462
Union Territories other than Delhi,224126,2030,224,448
Uttar Pradesh,12644813,2030,12645,25290
Uttarakhand,731763,2030,732,1464
West Bengal,8180219,2030,8180,16360
