State,Year,Forecasted_CVD_Deaths,Lower_80,Upper_80,Lower_95,Upper_95,Forecasted_CVD_DALY
Andhra Pradesh,2020,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2021,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2022,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2023,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2024,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2025,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2026,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2027,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2028,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2029,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2030,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Arunachal Pradesh,2020,1962.63,1933.6045168298883,1991.655483170112,1918.239354179114,2007.020645820886,NA
Arunachal Pradesh,2021,1962.63,1921.581768046396,2003.678231953604,1899.8521466376023,2025.407853362398,NA
Arunachal Pradesh,2022,1962.63,1912.3563884351313,2012.903611564869,1885.7431460574303,2039.51685394257,NA
Arunachal Pradesh,2023,1962.63,1904.5790336597763,2020.6809663402237,1873.848708358228,2051.411291641772,NA
Arunachal Pradesh,2024,1962.63,1897.727046551854,2027.532953448146,1863.369498379382,2061.8905016206186,NA
Arunachal Pradesh,2025,1962.63,1891.5323766954857,2033.7276233045145,1853.8955683862189,2071.3644316137816,NA
Arunachal Pradesh,2026,1962.63,1885.8357898483937,2039.4242101516063,1845.183390620387,2080.0766093796133,NA
Arunachal Pradesh,2027,1962.63,1880.533536092792,2044.726463907208,1837.0742932752048,2088.1857067247956,NA
Arunachal Pradesh,2028,1962.63,1875.553550489665,2049.7064495103355,1829.458062537342,2095.8019374626583,NA
Arunachal Pradesh,2029,1962.63,1870.8433629955623,2054.4166370044377,1822.254452400165,2103.005547599835,NA
Arunachal Pradesh,2030,1962.63,1866.363362965964,2058.8966370340363,1815.4028836105629,2109.857116389437,NA
Assam,2020,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2021,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2022,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2023,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2024,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2025,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2026,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2027,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2028,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2029,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2030,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Bihar,2020,3496.7335206118664,3404.3707477536686,3589.096293470064,3355.47684926022,3637.9901919635126,NA
Bihar,2021,3492.556832828057,3377.671774421292,3607.441891234822,3316.855298147045,3668.258367509069,NA
Bihar,2022,3489.4673465049364,3363.958309467557,3614.976383542316,3297.5178386261555,3681.416854383717,NA
Bihar,2023,3487.182060595429,3356.224378733039,3618.1397424578186,3286.899569551018,3687.46455163984,NA
Bihar,2024,3485.491639877555,3351.646567361728,3619.3367123933817,3280.7932658970326,3690.190013858077,NA
Bihar,2025,3484.2412395702977,3348.8423830196716,3619.6400961209242,3277.166557971856,3691.3159211687394,NA
Bihar,2026,3483.31632134618,3347.0748078771817,3619.557834815178,3274.952907202177,3691.679735490183,NA
Bihar,2027,3482.632161468466,3345.931784578178,3619.3325383587544,3273.5669762808852,3691.697346656047,NA
Bihar,2028,3482.12608998445,3345.1752954922235,3619.0768844766767,3272.677924123996,3691.574255844904,NA
Bihar,2029,3481.751750074618,3344.6641325373957,3618.83936761184,3272.0943314242977,3691.4091687249384,NA
Bihar,2030,3481.474851706464,3344.312428842664,3618.637274570264,3271.703028181704,3691.246675231224,NA
Chhattisgarh,2020,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2021,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2022,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2023,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
