state,Forecasted_CVD_DALY,Year,paf
Andhra Pradesh,3750985,2030,3751
Arunachal Pradesh,44552,2030,45
Assam,1543623,2030,1544
Bihar,4694894,2030,4695
Chhattisgarh,2101094,2030,2101
Delhi,749164,2030,749
Goa,110065,2030,110
Gujarat,5991603,2030,5992
Haryana,1197974,2030,1198
Himachal Pradesh,456000,2030,456
Jammu and Kashmir,796453,2030,796
Jharkhand,1105849,2030,1106
Karnataka,4117646,2030,4118
Kerala,3108392,2030,3108
Madhya Pradesh,5727855,2030,5728
Maharashtra,9266108,2030,9266
Manipur,198604,2030,199
Meghalaya,106820,2030,107
Mizoram,22672,2030,23
Nagaland,58559,2030,59
Odisha,2974958,2030,2975
Punjab,2904591,2030,2905
Rajasthan,3777363,2030,3777
Sikkim,23774,2030,24
Tamil Nadu,6911253,2030,6911
Telangana,2295561,2030,2296
Tripura,231178,2030,231
Union Territories other than Delhi,234169,2030,234
Uttar Pradesh,13204828,2030,13205
Uttarakhand,729926,2030,730
West Bengal,8469186,2030,8469
