State,Year,Forecasted_CVD_DALY,Lower_80,Upper_80,Lower_95,Upper_95
Andhra Pradesh,2020,3225936.9053021916,3188190.5365841524,3263683.274020231,3168208.815989541,3283664.9946148423
Andhra Pradesh,2021,3278441.675318734,3225060.2487473474,3331823.10189012,3196801.828482898,3360081.5221545696
Andhra Pradesh,2022,3330946.4453352755,3265567.8169144033,3396325.0737561476,3230958.461621891,3430934.42904866
Andhra Pradesh,2023,3383451.2153518177,3307958.4779157396,3458943.9527878957,3267995.0367265167,3498907.3939771187
Andhra Pradesh,2024,3435955.98536836,3351552.539011053,3520359.431725667,3306872.053454094,3565039.9172826256
Andhra Pradesh,2025,3488460.7553849015,3396001.412382753,3580920.09838705,3347056.392743093,3629865.11802671
Andhra Pradesh,2026,3540965.5254014437,3441098.0208777646,3640833.029925123,3388231.3574172445,3693699.693385643
Andhra Pradesh,2027,3593470.295417986,3486707.442275213,3700233.1485607587,3430190.601746314,3756749.9890896576
Andhra Pradesh,2028,3645975.0654345276,3532735.9592804103,3759214.171588645,3472790.797496576,3819159.3333724793
Andhra Pradesh,2029,3698479.8354510698,3579115.336901536,3817844.3340006033,3515927.5882534697,3881032.08264867
Andhra Pradesh,2030,3750984.605467612,3625794.0632314677,3876175.147703756,3559522.1933534243,3942447.0175817995
Arunachal Pradesh,2020,37870.52673843023,37502.00925102008,38239.04422584038,37306.927877162285,38434.12559969817
Arunachal Pradesh,2021,38538.673541572854,38017.51111290576,39059.83597023995,37741.6243882297,39335.72269491601
Arunachal Pradesh,2022,39206.82034471548,38568.52933304348,39845.11135638748,38230.63848191144,40183.00220751952
Arunachal Pradesh,2023,39874.967147858115,39137.932173037814,40612.002122678416,38747.76942532223,41002.164870394
Arunachal Pradesh,2024,40543.113951000734,39719.083798254214,41367.144103747254,39282.86858516414,41803.359316837326
Arunachal Pradesh,2025,41211.26075414337,40308.58094869598,42113.94055959076,39830.73112442326,42591.790383863474
Arunachal Pradesh,2026,41879.407557285995,40904.401931820365,42854.413182751625,40388.26513117182,43370.54998340017
Arunachal Pradesh,2027,42547.55436042862,41505.22950309444,43589.879217762806,40953.45605374231,44141.65266711493
Arunachal Pradesh,2028,43215.70116357125,42110.1487013408,44321.2536258017,41524.90457976742,44906.49774737508
Arunachal Pradesh,2029,43883.847966713874,42718.493348895376,45049.20258453237,42101.59187842992,45666.10405499783
Arunachal Pradesh,2030,44551.9947698565,43329.76053543251,45774.22900428049,42682.748814759165,46421.24072495384
Assam,2020,1543622.66449278,1508721.4769311768,1578523.8520543834,1490245.9042612473,1596999.424724313
Assam,2021,1543622.66449278,1494264.9317002336,1592980.3972853266,1468136.5262578097,1619108.8027277505
Assam,2022,1543622.66449278,1483172.0343915925,1604073.2945939677,1451171.4038283436,1636073.9251572166
Assam,2023,1543622.66449278,1473820.2893695738,1613425.0396159864,1436869.1440297146,1650376.1849558456
Assam,2024,1543622.66449278,1465581.236609565,1621664.0923759951,1424268.6001963655,1662976.7287891947
Assam,2025,1543622.66449278,1458132.5635496813,1629112.765435879,1412876.8378026437,1674368.4911829166
Assam,2026,1543622.66449278,1451282.8017439572,1635962.527241603,1402401.0311298221,1684844.297855738
Assam,2027,1543622.66449278,1444907.1989076873,1642338.130077873,1392650.388022839,1694594.9409627211
Assam,2028,1543622.66449278,1438919.1018079706,1648326.2271775897,1383492.383798182,1703752.9451873782
Assam,2029,1543622.66449278,1433255.4187533758,1653989.9102321845,1374830.52804044,1712414.8009451202
Assam,2030,1543622.66449278,1427868.5206131234,1659376.8083724368,1366591.9782800225,1720653.3507055377
Bihar,2020,4778531.167219222,4669943.031259836,4887119.3031786075,4612459.944374363,4944602.39006408
Bihar,2021,4770167.420074793,4527356.966519617,5012977.873629969,4398820.876687172,5141513.963462413
Bihar,2022,4761803.672930364,4355504.071901914,5168103.273958813,4140422.055242316,5383185.290618411
Bihar,2023,4753439.925785935,4158678.2103619985,5348201.641209871,3843830.3767399695,5663049.4748319
Bihar,2024,4745076.178641506,3939765.009022969,5550387.348260042,3513459.0270293355,5976693.330253676
Bihar,2025,4736712.4314970765,3700847.6344925626,5772577.228501591,3152493.934507473,6320930.928486681
Bihar,2026,4728348.6843526475,3443516.532685056,6013180.836020239,2763367.476298446,6693329.892406849
Bihar,2027,4719984.9372082185,3169036.134922548,6270933.739493889,2348013.4332339177,7091956.441182519
Bihar,2028,4711621.1900637895,2878442.4665692095,6544799.9135583695,1908016.2693771683,7515226.110750411
