"state","Year","avg_975","CVD_DALY","CVD_YLL","CVD_YLD","paf_daly_avg_rh"
"Andhra Pradesh",2021,41.0084149947733,3173432.13528565,2955732.4820764,176666.325003833,3173
"Arunachal Pradesh",2021,43.4647238813326,37202.3799352876,34070.7049656315,3131.67496965607,37
"Assam",2021,42.5299423248438,1543622.66449278,1456380.93608129,87241.7284114866,1544
"Bihar",2021,42.0938739745897,4786894.91436365,4543290.98283789,243603.931525756,4787
"Chhattisgarh",2021,42.053111064889,1997059.19291465,1922359.54957364,74699.6433410153,1997
"Delhi",2021,47.6580573015983,772071.994373424,704011.757912674,48606.6785589907,772
"Goa",2021,40.9908020506242,93579.688315443,87574.3224406448,5793.73362344531,94
"Gujarat",2021,38.6733565872987,4542629.03103438,4284545.02012252,173018.302372003,4543
"Haryana",2021,47.9154591079812,1429296.66790313,1381386.77074954,70409.6350943189,1429
"Himachal Pradesh",2021,54.6691005686348,376691.282435387,348355.413617001,23144.9501772232,377
"Jharkhand",2021,43.8081118919017,1105849.43955219,1031038.82031788,75070.6202001227,1106
"Karnataka",2021,41.0854966037206,4387170.42352701,4229158.37232696,186140.850027595,4387
"Kerala",2021,48.5451966130029,2637130.56847363,2502080.85991668,135049.708556954,2637
"Madhya Pradesh",2021,41.3998080540419,4531206.08688532,4232239.86189885,192322.904553695,4531
"Maharashtra",2021,40.5353906484637,7348021.5021845,6822866.22109853,341703.446831392,7348
"Manipur",2021,42.7751989484737,151177.952384977,142182.591981409,8995.36040356858,151
"Meghalaya",2021,43.4007770286932,85238.332030795,78553.1271811346,6685.20484966031,85
"Mizoram",2021,41.5857793085539,19168.317823683,16724.1120382306,2444.20578545236,19
"Nagaland",2021,42.1875807156469,58559.1093294159,54171.4358940496,4440.92240215089,59
"Odisha",2021,41.5901156314905,2500865.19488792,2367697.30230782,133167.892580093,2501
"Punjab",2021,52.6914851797126,2466468.69755063,2369733.85873356,96734.8388170661,2466
"Rajasthan",2021,42.2364994780316,2941608.35530681,2735638.43750226,174019.449336624,2942
"Sikkim",2021,45.6969985273445,21007.1791339487,18932.7347275995,1809.75593115294,21
"Tamil Nadu",2021,48.0122097189976,6081222.52183551,5835890.54124649,214227.931978061,6081
"Telangana",2021,40.6769362364352,2601196.78298701,2536680.44654418,94476.4014824112,2601
"Tripura",2021,42.8870455083366,231177.910910041,206134.610701178,12244.4331096015,231
"Uttar Pradesh",2021,47.8082624555289,10124746.1796159,9487814.3390889,474614.670147998,10125
"Uttarakhand",2021,49.9664284768575,740031.648177574,711688.474103895,27532.5543469995,740
"West Bengal",2021,43.6675844915656,6879870.65041183,6326466.42731396,314633.517794073,6880
