"State","cpd_2021","Year","avg_975","CVD_DALY","paf_daly_avghum975","totalcost_relhumhigh"
"Assam",87274.74,2021,42.5299423248438,1543622.66449278,1544,134752198.56
"Bihar",42712.23,2021,42.0938739745897,4786894.91436365,4787,204463445.01
"Chhattisgarh",83715.56,2021,42.053111064889,1997059.19291465,1997,167179973.32
"Jharkhand",67978.28,2021,43.8081118919017,1105849.43955219,1106,75183977.68
"Madhya Pradesh",60983.39,2021,41.3998080540419,4531206.08688532,4531,276315740.09
"Odisha",81418.89,2021,41.5901156314905,2500865.19488792,2501,203628643.89
"Tripura",100565.3,2021,42.8870455083366,231177.910910041,231,23230584.3
"Uttar Pradesh",22716.16,2021,47.8082624555289,10124746.1796159,10125,230001120
"West Bengal",80828.68,2021,43.6675844915656,6879870.65041183,6880,556101318.4
"Andhra Pradesh",70149.7,2021,41.0084149947733,3173432.13528565,3173,222584998.1
"Gujarat",72005.28,2021,38.6733565872987,4542629.03103438,4543,327119987.04
"Karnataka",86130.2,2021,41.0854966037206,4387170.42352701,4387,377853187.4
"Meghalaya",287821.9,2021,43.4007770286932,85238.332030795,85,24464861.5
"Rajasthan",68032.98,2021,42.2364994780316,2941608.35530681,2942,200153027.16
"Telangana",57271.43,2021,40.6769362364352,2601196.78298701,2601,148962989.43
"Arunachal Pradesh",592471,2021,43.4647238813326,37202.3799352876,37,21921427
"Manipur",161615.5,2021,42.7751989484737,151177.952384977,151,24403940.5
"Nagaland",207397.5,2021,42.1875807156469,58559.1093294159,59,12236452.5
"Tamil Nadu",75825.13,2021,48.0122097189976,6081222.52183551,6081,461092615.53
"Uttarakhand",95350.43,2021,49.9664284768575,740031.648177574,740,70559318.2
"Haryana",99403.71,2021,47.9154591079812,1429296.66790313,1429,142047901.59
"Maharashtra",75191.83,2021,40.5353906484637,7348021.5021845,7348,552509566.84
"Himachal Pradesh",134601.8,2021,54.6691005686348,376691.282435387,377,50744878.6
"Jammu & Kashmir",210529.5,NA,NA,NA,NA,NA
"Mizoram",294852.9,2021,41.5857793085539,19168.317823683,19,5602205.1
"Punjab",60492.23,2021,52.6914851797126,2466468.69755063,2466,149173839.18
"Sikkim",461771,2021,45.6969985273445,21007.1791339487,21,9697191
"Delhi",233228.7,2021,47.6580573015983,772071.994373424,772,180052556.4
"Goa",440620.7,2021,40.9908020506242,93579.688315443,94,41418345.8
"Kerala",155406.1,2021,48.5451966130029,2637130.56847363,2637,409805885.7
